Species	N	Heteroneme free length µm	Heteroneme width µm	Heteroneme volume µm3	Heteroneme shaft free length µm	Heteroneme shaft width µm	Heteroneme number	Haploneme free length µm	Haploneme width µm	Desmoneme length µm	Desmoneme width µm	Rhopaloneme length µm	Rhopaloneme width µm	Cnidoband length µm	Cnidoband free length µm	Cnidoband width µm	Haploneme row number	Tentacle width µm	Pedicle width µm	Elastic strand width µm	Involucrum length µm	Cnidoband coiledness	Heteroneme elongation	Haploneme elongation	Desmoneme elongation	Rhopaloneme elongation	Heteroneme shaft extension	Heteroneme/Cnidoband length	Total heteroneme volume µm3	Total haploneme volume µm3	log Total nematocyst volume	Haploneme surface area:volume
Physophora hydrostatica	5	80.86±9.55	19.08±2.53	18279.72±5987.28	59.34±6.13	5.90±0.43	33.60±8.38	40.66±5.08	7.12±0.97	7.03±0.37	5.23±0.29	12.23±1.25	2.67±0.16	702.90±132.40	3523.74±732.75	85.78±13.61	13±1.48	218.02±28.08	98.86±26.36	23.40±3.60	791.22±144.07	4.92±0.17	4.29±0.22	5.76±0.32	1.36±0.12	4.55±0.20	1.36±0.04	0.03±0.00	760746.88±315977.47	658017.60±226836.91	13.68±0.57	0.71±0.09
Praya dubia	5	140.20±12.06	13.56±1.06	13593.61±1962.19	103.40±15.56	4.90±0.46	36.00±4.60	69.32±7.20	8.04±0.37	13.88±1.24	9.26±1.04	23.52±2.37	5.02±0.28	321.12±27.54	701.66±54.92	65.86±7.49	7	93.70±13.27	39.38±6.51	10.62±1.06	18.68±11.44	2.19±0.04	10.66±1.38	8.67±0.92	1.53±0.12	4.68±0.36	1.44±0.17	0.20±0.02	508561.11±118405.79	210656.48±36776.48	13.39±0.23	0.59±0.02
Praya reticulata	1	207.90	15.00	24492.70	167.70	7.90	72.00	97.90	10.90	18.50	13.00	33.30	7.60	671.70	1913.90	78.10	7		99.40	24.40	0.00	2.85	13.86	8.98	1.42	4.38	1.24	0.11	1763474.33	1069367.68	14.86	0.43
Resomia dunni	1	277.10	44.80	291200.55	233.30	15.40		93.90	11.50	36.70	18.10	28.90	10.70		12820.00	342.50	27		136.40	101.80			6.19	8.17	2.03	2.70	1.19	0.02		7248532.33	15.80	0.40
Resomia ornicephala	6	67.37±1.72	17.05±1.19	10614.00±1720.95	49.98±2.74	5.58±0.21	182.83±18.01	63.65±2.98	9.33±0.48	19.25±0.46	16.13±0.75	24.95±0.40	6.52±0.30	1685.30±89.47	4984.73±334.54	155.92±21.26	23±0.58	216.92±37.42	133.92±15.16	51.43±11.30	419.43±77.30	3.29±0.10	4.03±0.24	6.86±0.26	1.20±0.04	3.87±0.20	1.37±0.09	0.01±0.00	1992106.63±424360.10	1571487.06±195174.19	15.02±0.16	0.51±0.03
Resomia persica	1	172.00	37.40	125971.21	135.30	7.90		87.20	12.40	30.60	16.20	23.70	3.50	1458.60	7060.50	207.50	14	191.00	184.60	75.70	0.00	4.84	4.60	7.03	1.89	6.77	1.27	0.02		3997350.68	15.20	0.38
Rhizophysa eysenhardtii	5						0.00	16.90±1.12	14.26±1.20					1132.46±319.41	1132.46±319.41	50.58±13.73	2.60±0.60	175.34±49.11	38.40±8.87		0.00	1.00		1.20±0.08						134882.90±36730.34	11.67±0.27	0.41±0.03
Rhizophysa filiformis	5						0.00	24.82±2.05	22.86±1.82					153.10±18.65	153.10±18.65	112.98±6.27	6.80±0.58	262.82±31.61	87.38±11.52		0.00	1.00		1.09±0.03						47446.55±9349.78	10.67±0.23	0.26±0.02
Rosacea cymbiformis	3	72.93±16.37	9.20±2.47	4570.63±3191.27	56.03±7.81	3.53±1.60	12.67±2.91	35.03±2.84	6.07±1.32	13.30±2.03	8.77±0.38	12.47±0.91	3.27±0.48	235.93±104.89	336.03±78.19	41.97±9.56	7	50.60±11.82	27.63±15.33	7.77±2.92	68.83±18.45	1.70±0.35	8.09±0.32	6.08±0.70	1.51±0.20	4.00±0.67	1.27±0.10	0.22±0.03	43725.67±22556.88	43145.89±21739.40	11.10±0.53	0.84±0.14
Rosacea plicata	1	89.50	10.40	5068.62	69.10	4.70	24.00	33.20	4.50	12.30	6.70	18.60	4.80	252.00	261.10	53.00	7	74.00	15.10	4.10	46.40	1.04	8.61	7.38	1.84	3.88	1.30	0.34	121646.77	20424.72	11.86	1.04
Sphaeronectes koellikeri	5	24.88±1.46	4.98±0.10	321.11±10.74	16.44±2.00	1.62±0.17	4.80±0.49	11.92±0.49	2.00±0.09	6.18±0.58	3.34±0.29	6.14±0.42	1.58±0.18	45.76±2.19	56.98±3.49	15.00±1.10	7	12.58±2.07	5.16±0.44	2.66±0.20	14.16±3.15	1.24±0.03	5.02±0.38	6.01±0.35	1.89±0.21	4.07±0.51	1.57±0.12	0.44±0.04	1525.07±119.41	703.81±35.05	7.70±0.06	2.39±0.11
Stephanomia amphytridis	5	161.98±3.46	43.50±1.10	160586.10±7204.17	125.00±2.33	14.10±0.38	425.50±52.90	130.68±5.69	18.42±0.77	42.12±3.98	26.06±2.99	45.06±2.61	12.74±0.80	7952.28±739.24	21768.90±2225.54	734.91±71.02	43.40±5.56	1137.13±92.54	404.40±70.59	377.12±38.10	0.00	2.73±0.09	3.74±0.15	7.19±0.62	1.64±0.09	3.58±0.26	1.29±0.05	0.01±0.00	65597086.06±7019318.87	27409899.85±3280806.25	18.06±0.29	0.25±0.01
Stephanophyes superba	2	96.35±6.05	8.58±1.48	3899.43±1515.99	72.30±8.50	3.83±0.03	35.00±1.00	42.40±0.80	6.80±0.50	16.88±3.98	11.55±0.95	20.55±1.95	4.05±0.05	543.78±60.23	978.00±120.00	70.98±10.98	7	64.38±19.78	27.95±5.95	11.85±2.05	56.75±12.75	1.80±0.02	11.45±1.26	6.28±0.58	1.44±0.23	5.08±0.54	1.36±0.24	0.10±0.02	137995.93±56959.00	146447.73±10020.17	12.54±0.17	0.69±0.04
Sulculeolaria quadrivalvis	5	31.80±2.81	4.80±0.49	425.31±119.70	23.30±2.15	1.82±0.19	7.60±0.40	18.60±2.22	3.48±0.34	9.48±1.78	5.52±1.17	8.14±1.34	2.14±0.38	90.04±5.31	122.86±13.16	26.64±4.56	7	26.78±3.37	10.86±1.88	6.08±0.89	17.52±3.38	1.36±0.11	6.69±0.37	5.34±0.42	1.77±0.21	3.86±0.32	1.37±0.07	0.27±0.03	3082.84±735.80	4551.03±1254.02	8.85±0.21	1.42±0.14
Thermopalia taraxaca	1	33.80	14.00	3468.75	23.30	3.00				11.90	5.00	18.80	4.30										2.41		2.38	4.37	1.45				8.15	
Vogtia glabra	1	115.80	24.80	37291.65	73.20	7.80	8.00	34.50	6.60	13.70	6.60	13.50	2.80	318.40	599.10	54.10	7	51.40	8.50	8.90	76.00	1.88	4.67	5.23	2.08	4.82	1.58	0.19	298333.17	71426.76	12.82	0.72
Vogtia serrata	5	163.96±7.43	23.56±0.38	47839.47±3141.75	109.56±5.36	6.40±0.68	12.80±1.50	53.32±1.93	7.00±0.31	15.36±0.99	9.12±0.67	17.74±0.62	4.70±0.43	616.30±82.94	1361.64±232.43	71.70±3.36	7	199.52±25.47	48.88±9.75	16.04±3.03	153.40±48.24	2.19±0.17	6.96±0.28	7.72±0.60	1.69±0.08	3.88±0.31	1.50±0.05	0.13±0.02	621637.11±99451.35	264272.03±43860.12	13.65±0.15	0.67±0.02
Vogtia spinosa	1	144.20	27.30	56271.72	93.40	11.20	6.00	39.80	5.70	16.10	9.10	10.60	3.00	407.40	1007.60	50.00	7	97.80	16.60	10.10	88.70	2.47	5.28	6.98	1.77	3.53	1.54	0.14	337630.32	119686.37	13.03	0.82
